Modelo,F1-Score,Precision,Recall,Accuracy,Tiempo_ms
ResNet50,0.9823844490656746,0.9825408363105702,0.9824046920821115,0.9824046920821115,3.6601819646306883
EfficientNet-B3,0.9824078574304105,0.9824364475813354,0.9824046920821115,0.9824046920821115,3.0281207004150787
ConvNeXt-Tiny,0.9970676093769008,0.9970927292951764,0.9970674486803519,0.9970674486803519,14.132152130077412
